ID,A,B,C,D,E,F,G,H,I,J,Time
15403_12_1558061207362522060,0,201,202,0,32,0,15,0,0,0,67468368
15403_12_1558061207430010208,0,200,203,0,32,0,14,0,0,0,88216181
15403_12_1558061207518245953,0,206,200,0,35,0,19,0,0,0,83805939
15403_12_1558061207602078757,0,207,192,0,28,0,21,0,0,0,86022558
15403_12_1558061207688127817,0,208,203,0,40,0,21,0,0,0,79289190
15403_12_1558061207767472463,0,205,200,0,34,0,18,0,0,0,79517725
15403_12_1558061207847017401,0,206,203,0,38,0,20,0,0,0,97188042
15403_12_1558061207944231675,0,198,203,0,30,0,12,0,0,0,67140461
15403_12_1558061208011402067,0,208,195,0,32,0,22,0,0,0,91769061
15403_12_1558061208103212046,0,203,201,0,33,0,17,0,0,0,69405466
15403_12_1558061208172653023,0,204,198,0,31,0,18,0,0,0,123400861
15403_12_1558061208296076176,0,211,193,0,33,0,25,0,0,0,77658587
15403_12_1558061208373763860,0,211,198,0,38,0,23,0,0,0,131612863
15403_12_1558061208603915455,0,209,195,0,33,0,23,0,0,0,120857329
15403_12_1558061208724804257,0,211,189,0,29,0,25,0,0,0,105742450
15403_12_1558061208830573667,0,211,197,0,37,0,25,0,0,0,102771304
15403_12_1558061208933367246,0,206,200,0,35,0,18,0,0,0,112822059
15403_12_1558061209046212718,0,205,208,0,42,0,18,0,0,0,151499654
15403_12_1558061209244076155,0,205,197,0,31,0,19,0,0,0,110230273
15403_12_1558061209383811395,0,197,205,0,31,0,11,0,0,0,130110867
15403_12_1558061209548489269,0,214,188,0,31,0,28,0,0,0,136825645
15403_12_1558061209727939685,0,214,191,0,34,0,27,0,0,0,92793911
15403_12_1558061209927794314,0,206,200,0,35,0,20,0,0,0,150569756
15403_12_1558061210132319586,0,208,196,0,33,0,22,0,0,0,117874743
15403_12_1558061210294437673,0,204,199,0,32,0,18,0,0,0,76214637
15403_12_1558061210399565703,0,207,196,0,32,0,20,0,0,0,117166889
15403_12_1558061210596330341,0,210,215,0,54,0,24,0,0,0,86768996
15403_12_1558061210742233788,0,212,216,0,57,0,24,0,0,0,145688017
15403_12_1558061210933380407,0,209,231,0,69,0,22,0,0,0,153970980
15403_12_1558061211128270495,0,196,211,0,36,0,10,0,0,0,157654598
15403_12_1558061211285959242,0,209,197,0,35,0,23,0,0,0,99301031
15403_12_1558061211515009184,0,207,200,0,36,0,21,0,0,0,56597126
15403_12_1558061211605330681,0,206,200,0,35,0,20,0,0,0,115195428
15403_12_1558061211750731258,0,211,193,0,33,0,25,0,0,0,105844209
15403_12_1558061211856602407,0,201,203,0,33,0,15,0,0,0,84382840
15403_12_1558061212081103811,0,196,207,0,32,0,10,0,0,0,114045276
15403_12_1558061212262749653,0,197,208,0,34,0,10,0,0,0,97955518
15403_12_1558061212360772009,0,206,201,0,36,0,20,0,0,0,185295825
15403_12_1558061212579953474,0,204,203,0,36,0,18,0,0,0,217854821
15403_12_1558061212797833716,0,205,199,0,33,0,19,0,0,0,142923605
15403_12_1558061213011824565,0,213,191,0,33,0,26,0,0,0,80532532
15403_12_1558061213157147831,0,208,194,0,31,0,22,0,0,0,108559871
15403_12_1558061213318580592,0,214,215,0,58,0,27,0,0,0,114115924
15403_12_1558061213483795909,0,202,203,0,34,0,16,0,0,0,106829839
15403_12_1558061213636317496,0,213,202,0,44,1,26,0,0,0,90615553
15403_12_1558061213758589278,0,211,219,0,59,0,24,0,0,0,173058326
15403_12_1558061214058707268,0,211,190,0,30,0,25,0,0,0,69146185
15403_12_1558061214186522282,0,204,200,0,33,0,18,0,0,0,121273781
15403_12_1558061214357210057,0,204,200,0,33,0,18,0,0,0,131524472
15403_12_1558061214544019831,0,213,195,0,37,0,26,0,0,0,152698799
15403_12_1558061214763830890,0,203,197,0,29,0,17,0,0,0,79258902
15403_12_1558061214843120613,0,199,204,0,32,0,13,0,0,0,153132470
15403_12_1558061215088749483,0,211,221,0,61,0,25,0,0,0,171827318
15403_12_1558061215460782092,0,206,197,0,32,0,20,0,0,0,198066123
15403_12_1558061215658874571,0,211,195,0,35,0,25,0,0,0,89849134
15403_12_1558061215748746756,0,204,199,0,32,0,18,0,0,0,126854788
15403_12_1558061215962571096,0,212,188,0,29,0,26,0,0,0,62152749
15403_12_1558061216075363113,0,209,215,0,53,0,23,0,0,0,156965986
15403_12_1558061216272416333,0,205,198,0,32,0,19,0,0,0,77590695
15403_12_1558061216403101574,0,201,204,0,34,0,15,0,0,0,92062568
15403_12_1558061216563196539,0,212,192,0,33,0,26,0,0,0,152683449
15403_12_1558061216715904245,0,207,197,0,33,0,21,0,0,0,151700831
15403_12_1558061216867664807,0,203,201,0,33,0,17,0,0,0,184178790
15403_12_1558061217109576976,0,204,199,0,32,0,18,0,0,0,74996154
15403_12_1558061217259947774,0,204,200,0,33,0,18,0,0,0,90944982
15403_12_1558061217405795604,0,207,196,0,32,0,21,0,0,0,88012743
15403_12_1558061217555004599,0,206,199,0,34,0,20,0,0,0,119287399
15403_12_1558061217721193850,0,203,200,0,32,0,17,0,0,0,150789102
15403_12_1558061217924089408,0,208,208,0,45,0,22,0,0,0,109173115
15403_12_1558061218086266502,0,208,197,0,34,0,22,0,0,0,103699493
15403_12_1558061218190002125,0,208,200,0,37,0,20,0,0,0,129791310
15403_12_1558061218396531747,0,206,194,0,29,0,20,0,0,0,97573215
15403_12_1558061218556331488,0,206,230,0,65,0,19,0,0,0,161810085
15403_12_1558061218764054393,0,205,201,0,35,0,19,0,0,0,115722175
15403_12_1558061218879801879,0,208,196,0,33,0,22,0,0,0,126107697
15403_12_1558061219076070507,0,213,189,0,31,0,27,0,0,0,99915641
15403_12_1558061219254924447,0,212,216,0,57,0,25,0,0,0,134325797
15403_12_1558061219418086181,0,201,204,0,34,0,15,0,0,0,124686549
15403_12_1558061219586813707,0,203,200,0,32,0,17,0,0,0,109165044
